Entity;Code;Year;Fixed telephone subscriptions;Fixed broadband subscriptions;Mobile cellular subscriptions;Number of Internet users
Morocco;MAR;2020;2357286;2102434;49421024;30862724
Mozambique;MOZ;2020;89016;70000;15463226;5144410
Myanmar;MMR;2020;523951;688815;78548328;18751542
Namibia;NAM;2020;140370;71063;2898125;1020531
Nauru;NRU;2020;;;10000;
Nepal;NPL;2020;726000;1270000;38213000;11064432
Netherlands;NLD;2020;4937000;7525016;21415000;15923567
New Caledonia;NCL;2020;46000;55000;260000;
New Zealand;NZL;2020;858000;1764984;6148000;4630934
Nicaragua;NIC;2020;210981;290351;5976479;3053667
Niger;NER;2020;58000;12000;14239000;
Nigeria;NGA;2020;107031;65313;204228672;73956230
North Korea;PRK;2020;1180000;;6000000;
North Macedonia;MKD;2020;415390;475569;1862138;1718534
Northern Mariana Islands;MNP;2020;20000;;;
Norway;NOR;2020;348808;2387661;5825584;5218441
Oman;OMN;2020;594550;508949;6276535;4326686
Pakistan;PAK;2020;2876794;2523027;175624368;56799184
Palau;PLW;2020;8000;;24000;
Palestine;PSE;2020;466283;376911;4274119;
Panama;PAN;2020;649156;562413;5825677;2759146
Papua New Guinea;PNG;2020;166000;21000;4818000;
Paraguay;PRY;2020;249231;562369;7865050;4895026
Peru;PER;2020;2470000;3044000;44000000;21731361
Philippines;PHL;2020;4731196;7936574;149579408;55871109
Poland;POL;2020;5777428;8369218;49350724;31966596
Portugal;PRT;2020;5212507;4160795;11854999;8059531
Puerto Rico;PRI;2020;711512;671284;3483570;
Qatar;QAT;2020;454701;296126;3798514;2750807
Romania;ROU;2020;3025000;5684782;22592000;15253305
Russia;RUS;2020;25892404;33893304;238733216;123766963
Rwanda;RWA;2020;11671;17685;10614408;3483787
Saint Kitts and Nevis;KNA;2020;15000;30000;78000;
Saint Lucia;LCA;2020;38000;33000;203000;95538
Saint Vincent and the Grenadines;VCT;2020;12483;24733;97059;
Samoa;WSM;2020;6000;1692;69000;
San Marino;SMR;2020;16000;11000;39000;
Sao Tome and Principe;STP;2020;2790;2512;174203;72154
Saudi Arabia;SAU;2020;5749058;7890261;43215440;35226770
Senegal;SEN;2020;228774;153813;19078948;7001787
Serbia;SRB;2020;2572254;1730496;8260758;5766328
Seychelles;SYC;2020;18882;34966;183498;83381
Sierra Leone;SLE;2020;189;;6884201;1482115
Singapore;SGP;2020;1891000;1509700;8444800;5437341
Slovakia;SVK;2020;648462;1701561;7289707;4906697
Slovenia;SVN;2020;704909;651604;2550895;1833911
Solomon Islands;SLB;2020;7000;1000;474000;
Somalia;SOM;2020;91000;119000;8844000;
South Africa;ZAF;2020;2098802;1303057;95959440;41161350
South Korea;KOR;2020;23858240;22327182;70513680;50032746
South Sudan;SSD;2020;;;1344000;689405
Spain;ESP;2020;19455658;16188502;55647704;44145745
Sri Lanka;LKA;2020;2607868;1781530;29730464;7600277
Sudan;SDN;2020;129408;28782;35195208;12621097
Suriname;SUR;2020;103240;92270;899339;425312
Sweden;SWE;2020;1478610;4179574;12791840;9802763
Switzerland;CHE;2020;3071296;4028238;11017913;8137569
Syria;SYR;2020;2857193;1549346;16660253;7432437
Tajikistan;TJK;2020;502000;6000;11584000;
Tanzania;TZA;2020;72469;1135608;51220232;13574994
Thailand;THA;2020;5003000;11478265;116294000;55639332
Timor;TLS;2020;2012;75;1377915;378299
Togo;TGO;2020;46499;52706;6516510;2026220
Tonga;TON;2020;7000;5000;62000;
Trinidad and Tobago;TTO;2020;323905;376771;1987996;
Tunisia;TUN;2020;1533273;1334059;14852857;8744277
Turkey;TUR;2020;12448604;16734853;82128104;65347988
Turkmenistan;TKM;2020;717000;10000;9377000;
Turks and Caicos Islands;TCA;2020;4000;;;
Tuvalu;TUV;2020;2000;;9000;
Uganda;UGA;2020;90774;58594;27688988;8836517
Ukraine;UKR;2020;3314263;7769401;53977688;32948894
United Arab Emirates;ARE;2020;2380866;3245123;18374332;9287286
United Kingdom;GBR;2020;32037000;27330296;79007000;63584584
United States;USA;2020;101526000;121176000;351476992;305371298
United States Virgin Islands;VIR;2020;76000;;80000;
Uruguay;URY;2020;1224600;1063701;4551276;2952444
Uzbekistan;UZB;2020;3550069;4820009;33387000;23837456
Vanuatu;VUT;2020;3472;2785;246232;
Venezuela;VEN;2020;5251182;2561556;16543805;
Vietnam;VNM;2020;3205775;16699249;138934624;67944025
World;OWID_WRL;2020;901317568;1229181696;8265682432;4699886462
Yemen;YEM;2020;1240000;391000;15178000;
Zambia;ZMB;2020;71844;82317;19104208;3747688
Zimbabwe;ZWE;2020;252067;203461;13191708;4591211
