"Code";"Country_name";"Internet_arrival_year"
"ROU";"Romania";"1993"
"RUS";"Russia";"1992"
"RWA";"Rwanda";"1996"
"SAU";"Saudi Arabia";"1995"
"SDN";"Sudan";"1997"
"SEN";"Senegal";"1995"
"SGP";"Singapore";"1991"
"SLB";"Solomon Islands";"1995"
"SLE";"Sierra Leone";"1996"
"SLV";"El Salvador";"1996"
"SMR";"San Marino";"1995"
"SOM";"Somalia";"1996"
"SRB";"Serbia";"2004"
"SSD";"South Sudan";"2013"
"STP";"Sao Tome and Principe";"1998"
"SUR";"Suriname";"1995"
"SVK";"Slovakia";"1993"
"SVN";"Slovenia";"1993"
"SWE";"Sweden";"1990"
"SWZ";"Eswatini";"1995"
"SYC";"Seychelles";"1996"
"SYR";"Syria";"1997"
"TCA";"Turks and Caicos Islands";"1999"
"TCD";"Chad";"1997"
"TGO";"Togo";"1996"
"THA";"Thailand";"1991"
"TJK";"Tajikistan";"1999"
"TKM";"Turkmenistan";"1999"
"TLS";"Timor";"2005"
"TON";"Tonga";"1995"
"TTO";"Trinidad and Tobago";"1995"
"TUN";"Tunisia";"1994"
"TUR";"Turkey";"1993"
"TUV";"Tuvalu";"2000"
"TWN";"Taiwan";"1999"
"TZA";"Tanzania";"1996"
"UGA";"Uganda";"1995"
"UKR";"Ukraine";"1993"
"URY";"Uruguay";"1994"
"USA";"United States";"1990"
"UZB";"Uzbekistan";"1995"
"VCT";"Saint Vincent and the Grenadines";"1995"
"VEN";"Venezuela";"1992"
"VGB";"British Virgin Islands";"2002"
"VIR";"United States Virgin Islands";"1994"
"VNM";"Vietnam";"1996"
"VUT";"Vanuatu";"1996"
"WSM";"Samoa";"1997"
"YEM";"Yemen";"1996"
"ZAF";"South Africa";"1991"
"ZMB";"Zambia";"1994"
"ZWE";"Zimbabwe";"1994"
